Track,Vehicle,Description,Translation,Rotation,Timestamp
LVMS,TUM,High speed multi-agent laps with Euroracing,"[73.09535103869972, -262.45228606055485, 5.569124431856736]","[0.9040470825615161, 0.0, 0.0, -0.4274328865588272]",16415956590.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[82.29492113265776, -254.87671271189146, 5.556541912291991]","[0.9045688031188633, 0.0, 0.0, -0.42632766790827337]",16415956595.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[96.09861943706372, -243.42851849307073, 5.5366469100359765]","[0.9057408581417212, 0.0, 0.0, -0.4238319217481127]",16415956600.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[105.31518752829732, -235.74789677062572, 5.52872683184003]","[0.9053200006048272, 0.0, 0.0, -0.42473014550991756]",16415956605.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[119.1969793648291, -224.23599903337106, 5.510112953230198]","[0.9050060888840055, 0.0, 0.0, -0.42539861198983187]",16415956610.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[128.47652236830322, -216.55011061574862, 5.482584500851971]","[0.9052162355741534, 0.0, 0.0, -0.4249512523254388]",16415956615.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[142.37063637743233, -204.98007256202618, 5.4209732125765555]","[0.905954869945604, 0.0, 0.0, -0.42337427132720706]",16415956620.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[151.66027880467345, -197.22248682859322, 5.416766683842948]","[0.9057602067688105, 0.0, 0.0, -0.42379057072346693]",16415956625.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[165.60662286278173, -185.60208161639653, 5.35877208322669]","[0.9050325570686941, 0.0, 0.0, -0.42534229820898467]",16415956630.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[174.92664822103032, -177.86755788782486, 5.334472977780123]","[0.9048931614970904, 0.0, 0.0, -0.4256387744036023]",16415956635.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[188.91566908611432, -166.2673847489282, 5.294786975484293]","[0.904754663936368, 0.0, 0.0, -0.42593309108989136]",16415956640.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[198.2665743261733, -158.54997473992276, 5.255886324759672]","[0.9045604232642349, 0.0, 0.0, -0.4263454475704276]",16415956645.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[212.2717811116672, -146.9435890664141, 5.20188942252431]","[0.9053088693594307, 0.0, 0.0, -0.42475387115263497]",16415956650.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[221.62143006103696, -139.20493076259618, 5.170123116787543]","[0.904513575787945, 0.0, 0.0, -0.4264448278679265]",16415956655.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[235.66181383849025, -127.60969296014167, 5.128652836979242]","[0.9045507583707486, 0.0, 0.0, -0.4263659525934308]",16415956660.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[244.99054856520488, -119.85261359762865, 5.092668435617917]","[0.9053607081072238, 0.0, 0.0, -0.4246433659149597]",16415956665.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[258.9632360831501, -108.18619552713835, 5.06965586729909]","[0.9057436685316083, 0.0, 0.0, -0.42382591581320767]",16415956670.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[268.2976354336621, -100.4198784030565, 5.011410286459828]","[0.9054470526474863, 0.0, 0.0, -0.4244592263716036]",16415956675.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[282.28837933150015, -88.78064734858673, 5.007005565598966]","[0.9065704866399938, 0.0, 0.0, -0.42205444287831484]",16415956680.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[291.55074783159034, -80.94729770786391, 5.00984833290925]","[0.9085212067550013, 0.0, 0.0, -0.4178387450637342]",16415956685.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[305.2890105250292, -69.01411715227252, 4.96014448565089]","[0.911494753588502, 0.0, 0.0, -0.41131169954261687]",16415956690.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[314.27385498002536, -60.878197146089065, 4.912468290694626]","[0.9158145003788021, 0.0, 0.0, -0.4016015449371741]",16415956695.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[327.45268622015385, -48.36226046213973, 4.862549908422583]","[0.9216341367111999, 0.0, 0.0, -0.3880599413088155]",16415956700.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[335.99388174411473, -39.7699463732481, 4.83166652385]","[0.92650701457716, 0.0, 0.0, -0.3762774932670278]",16415956705.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[347.2763629646757, -27.545564119807054, 4.861441228291557]","[0.9358150398342494, 0.0, 0.0, -0.3524914342505679]",16415956710.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[355.0844329371077, -18.29674097366005, 4.868658591220785]","[0.9422712197458634, 0.0, 0.0, -0.334850636013496]",16415956715.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[366.9022654983644, -2.6012546374089656, 4.868871102761697]","[0.9536406756514447, 0.0, 0.0, -0.30094760630889894]",16415956720.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[373.57402892651544, 7.47788016649959, 4.861341454089975]","[0.96027268330534, 0.0, 0.0, -0.2790633865227793]",16415956725.12345
LVMS,TUM,High speed multi-agent laps with Euroracing,"[382.79130115481513, 23.112400918876784, 4.8187408881768174]","[0.9687114209749104, 0.0, 0.0, -0.24818981218569344]",16415956730.12345
